OrderID,CustomerID,OrderDate,TotalAmount
ORDER3156,CUST2092,2023-11-11,251.84
ORDER3157,CUST5664,2023-08-21,59.84
ORDER3158,CUST1797,2023-09-26,418.25
ORDER3159,CUST1691,2023-12-13,269.35
ORDER3160,CUST4864,2023-01-19,29.78
ORDER3161,CUST4395,2023-10-21,110.55
ORDER3162,CUST1776,2023-02-21,172.63
ORDER3163,CUST5110,2023-09-17,229.19
ORDER3164,CUST5048,2023-04-19,474.88
ORDER3165,CUST5841,2023-11-14,371.89
ORDER3166,CUST2579,2023-02-13,463.18
ORDER3167,CUST3673,2023-06-03,92.44
ORDER3168,CUST5200,2023-09-18,241.68
ORDER3169,CUST2436,2023-07-05,104.34
ORDER3170,CUST2047,2023-07-27,472.84
ORDER3171,CUST3806,2023-12-28,254.73
ORDER3172,CUST1328,2023-08-07,404.49
ORDER3173,CUST3983,2023-07-13,183.48
ORDER3174,CUST5056,2023-12-10,141.33
ORDER3175,CUST2560,2023-09-03,424.39
ORDER3176,CUST2929,2023-05-19,414.85
ORDER3177,CUST5201,2023-06-01,392.02
ORDER3178,CUST1851,2023-11-02,412.4
ORDER3179,CUST2252,2023-11-12,273.08
ORDER3180,CUST1368,2023-02-21,348.48
ORDER3181,CUST3483,2023-06-12,227.61
ORDER3182,CUST3923,2023-12-24,67.8
ORDER3183,CUST2431,2023-06-21,230.83
ORDER3184,CUST4306,2023-01-02,439.69
ORDER3185,CUST4124,2023-03-03,132.15
ORDER3186,CUST3453,2023-01-11,127.42
ORDER3187,CUST5259,2023-10-16,360.2
ORDER3188,CUST1389,2023-01-05,59.3
ORDER3189,CUST2559,2023-04-07,491.33
ORDER3190,CUST5016,2023-05-30,328.79
ORDER3191,CUST4817,2023-08-20,393.52
ORDER3192,CUST4251,2023-01-19,285.47
ORDER3193,CUST2280,2023-10-09,62.92
ORDER3194,CUST2851,2023-05-08,308.25
ORDER3195,CUST1373,2023-08-18,70.61
ORDER3196,CUST2273,2023-07-15,50.05
ORDER3197,CUST1926,2023-08-24,282.8
ORDER3198,CUST5598,2023-08-04,208.36
ORDER3199,CUST3413,2023-11-18,303.07
ORDER3200,CUST3978,2023-11-24,400.61
ORDER3201,CUST2903,2023-07-31,448.16
ORDER3202,CUST5134,2023-10-27,113.48
ORDER3203,CUST1568,2023-11-04,394.91
ORDER3204,CUST3199,2023-08-22,475.23
ORDER3205,CUST3097,2023-08-07,454.35
ORDER3206,CUST1448,2023-12-06,258.45
ORDER3207,CUST2912,2023-06-26,442.05
ORDER3208,CUST1774,2023-06-12,43.01
ORDER3209,CUST5976,2023-11-24,120.55
ORDER3210,CUST2954,2023-07-15,259.81
ORDER3211,CUST2066,2023-04-10,73.47
ORDER3212,CUST3712,2023-08-28,489.4
ORDER3213,CUST2601,2023-06-22,203.77
ORDER3214,CUST3616,2023-07-12,71.29
ORDER3215,CUST2370,2023-07-21,138.64
ORDER3216,CUST3911,2023-03-02,494.63
ORDER3217,CUST5348,2023-11-17,295.31
ORDER3218,CUST1509,2023-03-05,236.03
ORDER3219,CUST5783,2023-11-01,339.71
ORDER3220,CUST1689,2023-10-12,381.23
ORDER3221,CUST4091,2023-08-02,85.22
ORDER3222,CUST5799,2023-03-06,375.76
ORDER3223,CUST2794,2023-02-26,367.69
ORDER3224,CUST5013,2023-08-06,177.99
ORDER3225,CUST4537,2023-12-02,430.1
ORDER3226,CUST1920,2023-12-13,354.26
ORDER3227,CUST3511,2023-07-22,305.42
ORDER3228,CUST4401,2023-04-30,494.62
ORDER3229,CUST3818,2023-10-20,205.91
ORDER3230,CUST2186,2023-09-03,62.11
ORDER3231,CUST3146,2023-12-28,177.38
ORDER3232,CUST2734,2023-05-07,170.57
ORDER3233,CUST3071,2023-02-24,251.49
ORDER3234,CUST4476,2023-09-10,272.15
ORDER3235,CUST1750,2023-08-24,415.92
ORDER3236,CUST4170,2023-09-04,379.15
ORDER3237,CUST1724,2023-07-23,404.3
ORDER3238,CUST1360,2023-09-18,231.94
ORDER3239,CUST5735,2023-06-20,56.08
ORDER3240,CUST5107,2023-08-24,416.96
ORDER3241,CUST5848,2023-04-08,497.38
ORDER3242,CUST1610,2023-12-16,129.52
ORDER3243,CUST2695,2023-04-07,179.54
ORDER3244,CUST1231,2023-07-02,417.15
ORDER3245,CUST4824,2023-06-03,219.15
ORDER3246,CUST5750,2023-10-09,152.84
ORDER3247,CUST2022,2023-12-22,223.52
ORDER3248,CUST2649,2023-10-07,385.68
ORDER3249,CUST4062,2023-03-06,360.19
ORDER3250,CUST2150,2023-11-29,330.1
ORDER3251,CUST1677,2023-08-19,225.68
ORDER3252,CUST3559,2023-06-29,325.13
ORDER3253,CUST1804,2023-06-05,404.3
ORDER3254,CUST3108,2023-04-11,465.6
ORDER3255,CUST1568,2023-10-09,118.8
ORDER3256,CUST2320,2023-02-06,288.87
ORDER3257,CUST4031,2023-02-23,106.18
ORDER3258,CUST4691,2023-06-28,481.27
ORDER3259,CUST2708,2023-02-09,436.38
ORDER3260,CUST5073,2023-11-14,96.27
ORDER3261,CUST5265,2023-09-22,280.94
ORDER3262,CUST5286,2023-03-15,108.47
ORDER3263,CUST2783,2023-07-01,435.73
ORDER3264,CUST4949,2023-02-05,446.64
ORDER3265,CUST4419,2023-03-17,304.17
ORDER3266,CUST3051,2023-10-15,125.34
ORDER3267,CUST4750,2023-05-27,446.86
ORDER3268,CUST3828,2023-10-06,175.13
ORDER3269,CUST2873,2023-03-21,131.64
ORDER3270,CUST4906,2023-09-08,161.26
ORDER3271,CUST5537,2023-09-05,183.3
ORDER3272,CUST1014,2023-06-27,57.42
ORDER3273,CUST2410,2023-04-12,285.42
ORDER3274,CUST2765,2023-09-02,63.21
ORDER3275,CUST1973,2023-01-09,444.86
ORDER3276,CUST2246,2023-10-25,200.1
ORDER3277,CUST2850,2023-04-02,463.22
ORDER3278,CUST2064,2023-12-25,122.84
ORDER3279,CUST2150,2023-02-18,279.45
ORDER3280,CUST5179,2023-09-12,243.22
ORDER3281,CUST2998,2023-08-01,257.85
ORDER3282,CUST4874,2023-07-19,97.16
ORDER3283,CUST3476,2023-01-03,154.86
ORDER3284,CUST1043,2023-08-22,216.36
ORDER3285,CUST1973,2023-01-10,425.56
ORDER3286,CUST5612,2023-08-01,127.58
ORDER3287,CUST3512,2023-03-20,59.79
ORDER3288,CUST4198,2023-01-11,462.63
ORDER3289,CUST1141,2023-09-14,497.33
ORDER3290,CUST3642,2023-10-21,53.47
ORDER3291,CUST4009,2023-09-07,388.67
ORDER3292,CUST2377,2023-07-05,222.64
ORDER3293,CUST3124,2023-09-30,288.92
ORDER3294,CUST4537,2023-05-26,171.73
ORDER3295,CUST5201,2023-10-25,263.47
ORDER3296,CUST1229,2023-08-04,283.49
ORDER3297,CUST3299,2023-01-10,365.36
ORDER3298,CUST3857,2023-12-08,64.56
ORDER3299,CUST5808,2023-11-14,87.51
ORDER3300,CUST5286,2023-12-04,34.19
ORDER3301,CUST3990,2023-12-29,487.05
ORDER3302,CUST3275,2023-10-11,36.97
ORDER3303,CUST3939,2023-12-16,317.25
ORDER3304,CUST2000,2023-11-15,444.68
ORDER3305,CUST3240,2023-12-14,327.0
ORDER3306,CUST1980,2023-05-20,326.41
ORDER3307,CUST4827,2023-11-21,87.88
ORDER3308,CUST4615,2023-06-22,262.68
ORDER3309,CUST5752,2023-01-02,232.99
ORDER3310,CUST3496,2023-06-28,145.22
ORDER3311,CUST5935,2023-05-25,355.79
ORDER3312,CUST4893,2023-01-30,237.11
ORDER3313,CUST3146,2023-12-20,439.06
ORDER3314,CUST2488,2023-04-14,37.17
ORDER3315,CUST3136,2023-11-21,75.32
ORDER3316,CUST3216,2023-08-04,169.1
ORDER3317,CUST3148,2023-10-16,331.95
ORDER3318,CUST3394,2023-04-10,150.93
ORDER3319,CUST4649,2023-01-21,355.29
ORDER3320,CUST4210,2023-05-29,183.21
ORDER3321,CUST3895,2023-12-02,267.69
ORDER3322,CUST1017,2023-06-11,252.82
ORDER3323,CUST5290,2023-03-15,100.65
ORDER3324,CUST3025,2023-01-04,429.46
ORDER3325,CUST2827,2023-03-07,366.87
ORDER3326,CUST2116,2023-02-12,273.36
ORDER3327,CUST3858,2023-08-04,394.81
ORDER3328,CUST1735,2023-01-17,430.95
ORDER3329,CUST4346,2023-10-27,274.37
ORDER3330,CUST1664,2023-12-01,175.15
ORDER3331,CUST2921,2023-06-28,171.97
ORDER3332,CUST1950,2023-01-10,232.98
ORDER3333,CUST4419,2023-09-17,346.69
ORDER3334,CUST2136,2023-06-24,88.74
ORDER3335,CUST2427,2023-01-30,276.78
ORDER3336,CUST1224,2023-12-03,315.2
ORDER3337,CUST1707,2023-10-18,76.97
ORDER3338,CUST3286,2023-01-21,291.31
ORDER3339,CUST4202,2023-09-01,235.5
ORDER3340,CUST4034,2023-06-23,115.14
ORDER3341,CUST5416,2023-03-21,196.8
ORDER3342,CUST5229,2023-04-10,467.54
ORDER3343,CUST3802,2023-05-16,103.4
ORDER3344,CUST5498,2023-02-09,434.91
ORDER3345,CUST2123,2023-10-07,74.46
ORDER3346,CUST3056,2023-04-06,301.72
ORDER3347,CUST1353,2023-08-22,288.69
ORDER3348,CUST2164,2023-09-27,232.45
ORDER3349,CUST1331,2023-11-04,267.88
ORDER3350,CUST1677,2023-09-13,177.36
ORDER3351,CUST2705,2023-11-13,261.62
ORDER3352,CUST3979,2023-09-02,399.08
ORDER3353,CUST2375,2023-02-09,140.08
ORDER3354,CUST2551,2023-03-06,322.32
ORDER3355,CUST2925,2023-06-16,83.94
ORDER3356,CUST1581,2023-08-09,215.13
ORDER3357,CUST2259,2023-08-06,438.9
ORDER3358,CUST5184,2023-04-29,497.26
ORDER3359,CUST2444,2023-12-14,299.63
ORDER3360,CUST5672,2023-10-17,339.44
ORDER3361,CUST2436,2023-01-13,399.96
ORDER3362,CUST3343,2023-03-18,360.4
ORDER3363,CUST2498,2023-05-09,109.19
ORDER3364,CUST1395,2023-11-24,313.05
ORDER3365,CUST2440,2023-07-09,66.94
ORDER3366,CUST3094,2023-12-09,492.77
ORDER3367,CUST2537,2023-01-12,459.39
ORDER3368,CUST5392,2023-03-23,360.0
ORDER3369,CUST4449,2023-12-22,392.18
ORDER3370,CUST1819,2023-05-31,388.99
ORDER3371,CUST1402,2023-01-08,106.65
ORDER3372,CUST4635,2023-12-18,114.09
ORDER3373,CUST3141,2023-03-08,429.68
ORDER3374,CUST1078,2023-06-10,273.19
ORDER3375,CUST3072,2023-08-04,84.61
ORDER3376,CUST3326,2023-11-09,75.97
ORDER3377,CUST4438,2023-03-12,353.29
ORDER3378,CUST1643,2023-10-29,217.46
ORDER3379,CUST3625,2023-09-18,200.37
ORDER3380,CUST1129,2023-02-11,266.67
ORDER3381,CUST5334,2023-01-30,249.81
ORDER3382,CUST5503,2023-09-16,48.5
ORDER3383,CUST5583,2023-12-28,322.1
ORDER3384,CUST3860,2023-12-17,498.85
ORDER3385,CUST2562,2023-01-30,317.01
ORDER3386,CUST4522,2023-11-01,380.21
ORDER3387,CUST4274,2023-03-11,173.91
ORDER3388,CUST2356,2023-10-23,154.2
ORDER3389,CUST2088,2023-10-09,436.43
ORDER3390,CUST3091,2023-11-12,236.02
ORDER3391,CUST2237,2023-05-16,171.44
ORDER3392,CUST4400,2023-01-02,121.78
ORDER3393,CUST1410,2023-03-09,497.86
ORDER3394,CUST4934,2023-03-23,445.94
ORDER3395,CUST5575,2023-10-14,187.27
ORDER3396,CUST1507,2023-11-02,361.43
ORDER3397,CUST1756,2023-02-27,178.55
ORDER3398,CUST5336,2023-05-19,295.23
ORDER3399,CUST1497,2023-10-29,493.26
ORDER3400,CUST4332,2023-10-02,301.52
ORDER3401,CUST4922,2023-10-09,185.71
ORDER3402,CUST4815,2023-10-09,439.81
ORDER3403,CUST5028,2023-07-05,73.12
ORDER3404,CUST3672,2023-03-02,299.81
ORDER3405,CUST2409,2023-09-13,287.85
ORDER3406,CUST3881,2023-01-15,220.49
ORDER3407,CUST3944,2023-03-12,229.08
ORDER3408,CUST4894,2023-08-16,20.98
ORDER3409,CUST4924,2023-04-17,95.06
ORDER3410,CUST5036,2023-01-09,245.46
ORDER3411,CUST3025,2023-07-02,164.99
ORDER3412,CUST4955,2023-06-16,434.55
ORDER3413,CUST1481,2023-05-27,268.8
ORDER3414,CUST5929,2023-05-01,403.63
ORDER3415,CUST2041,2023-03-20,155.26
ORDER3416,CUST5511,2023-09-06,191.93
ORDER3417,CUST5170,2023-08-08,405.96
ORDER3418,CUST5781,2023-08-31,316.3
ORDER3419,CUST2762,2023-04-09,367.68
ORDER3420,CUST3878,2023-06-15,313.04
ORDER3421,CUST3421,2023-04-07,170.49
ORDER3422,CUST2736,2023-04-25,465.26
ORDER3423,CUST1946,2023-09-02,460.93
ORDER3424,CUST1309,2023-11-09,277.73
ORDER3425,CUST3355,2023-08-29,30.45
ORDER3426,CUST2782,2023-02-27,171.15
ORDER3427,CUST3024,2023-02-28,277.33
ORDER3428,CUST5304,2023-09-26,236.81
ORDER3429,CUST1410,2023-11-05,34.47
ORDER3430,CUST2779,2023-07-31,345.01
ORDER3431,CUST1398,2023-11-14,188.39
ORDER3432,CUST2355,2023-05-06,415.85
ORDER3433,CUST3783,2023-08-06,385.09
ORDER3434,CUST3146,2023-09-15,355.49
ORDER3435,CUST1569,2023-01-05,207.27
ORDER3436,CUST4856,2023-01-25,450.45
ORDER3437,CUST5552,2023-02-23,423.53
ORDER3438,CUST3683,2023-05-25,195.91
ORDER3439,CUST3395,2023-06-26,51.76
ORDER3440,CUST1990,2023-05-02,282.24
ORDER3441,CUST5140,2023-03-20,435.51
ORDER3442,CUST4961,2023-03-29,418.17
ORDER3443,CUST4964,2023-12-02,415.78
ORDER3444,CUST5512,2023-04-28,404.12
ORDER3445,CUST5584,2023-09-01,238.69
ORDER3446,CUST1351,2023-06-15,427.6
ORDER3447,CUST4776,2023-07-14,224.79
ORDER3448,CUST1283,2023-02-02,199.43
ORDER3449,CUST3429,2023-06-18,387.49
ORDER3450,CUST5402,2023-04-17,457.09
ORDER3451,CUST3397,2023-07-28,399.65
ORDER3452,CUST4329,2023-08-11,150.19
ORDER3453,CUST4527,2023-04-14,191.47
ORDER3454,CUST5177,2023-12-01,360.07
ORDER3455,CUST2914,2023-08-17,359.19
ORDER3456,CUST2328,2023-07-17,190.09
ORDER3457,CUST2717,2023-12-31,78.51
ORDER3458,CUST4074,2023-07-30,79.82
ORDER3459,CUST3150,2023-01-17,112.63
ORDER3460,CUST3739,2023-06-17,268.51
ORDER3461,CUST3261,2023-07-11,87.7
ORDER3462,CUST1076,2023-04-28,53.42
ORDER3463,CUST4194,2023-07-14,239.6
ORDER3464,CUST5081,2023-01-26,371.38
ORDER3465,CUST3578,2023-12-29,160.89
ORDER3466,CUST3511,2023-12-04,96.47
ORDER3467,CUST2458,2023-10-19,471.27
ORDER3468,CUST5353,2023-09-04,459.12
ORDER3469,CUST1479,2023-08-15,148.66
ORDER3470,CUST5010,2023-01-30,483.84
ORDER3471,CUST5134,2023-07-16,459.77
ORDER3472,CUST3217,2023-02-24,293.4
ORDER3473,CUST2415,2023-01-07,422.35
ORDER3474,CUST1310,2023-07-31,258.99
ORDER3475,CUST4121,2023-04-12,207.97
ORDER3476,CUST2921,2023-01-10,356.54
ORDER3477,CUST2090,2023-10-18,124.48
ORDER3478,CUST1119,2023-07-05,182.44
ORDER3479,CUST5338,2023-02-10,103.96
ORDER3480,CUST2210,2023-07-04,57.55
ORDER3481,CUST2233,2023-08-11,480.33
ORDER3482,CUST5200,2023-04-10,184.55
ORDER3483,CUST5047,2023-05-25,227.91
ORDER3484,CUST5754,2023-02-12,211.6
ORDER3485,CUST2824,2023-12-24,187.8
ORDER3486,CUST4344,2023-06-17,345.98
ORDER3487,CUST2025,2023-01-08,334.64
ORDER3488,CUST1076,2023-10-12,360.8
ORDER3489,CUST1919,2023-07-03,356.37
ORDER3490,CUST3725,2023-07-11,75.06
ORDER3491,CUST2790,2023-05-06,92.31
ORDER3492,CUST2231,2023-01-18,25.51
ORDER3493,CUST1158,2023-01-28,391.99
ORDER3494,CUST1866,2023-07-14,238.12
ORDER3495,CUST4828,2023-10-22,70.22
ORDER3496,CUST1873,2023-11-16,59.32
ORDER3497,CUST3870,2023-07-21,489.1
ORDER3498,CUST2658,2023-05-05,479.95
ORDER3499,CUST3498,2023-10-25,216.35
ORDER3500,CUST2037,2023-01-21,87.51
ORDER3501,CUST2178,2023-10-30,480.73
ORDER3502,CUST4212,2023-02-15,40.39
ORDER3503,CUST1213,2023-04-11,197.3
ORDER3504,CUST3917,2023-04-19,306.55
ORDER3505,CUST1322,2023-11-15,124.27
ORDER3506,CUST4209,2023-02-21,211.33
ORDER3507,CUST2639,2023-12-18,227.45
ORDER3508,CUST5720,2023-06-01,107.85
ORDER3509,CUST2226,2023-03-24,44.05
ORDER3510,CUST3230,2023-02-26,401.08
ORDER3511,CUST1098,2023-12-17,364.64
ORDER3512,CUST2330,2023-09-10,67.07
ORDER3513,CUST4250,2023-04-08,25.56
ORDER3514,CUST1191,2023-04-27,220.74
ORDER3515,CUST3024,2023-10-17,74.25
ORDER3516,CUST5638,2023-10-16,304.14
ORDER3517,CUST5300,2023-01-12,34.39
ORDER3518,CUST2206,2023-03-29,445.46
ORDER3519,CUST2046,2023-10-02,383.26
ORDER3520,CUST2721,2023-04-06,185.48
ORDER3521,CUST5074,2023-06-13,264.03
ORDER3522,CUST2959,2023-09-23,422.47
ORDER3523,CUST1213,2023-07-30,309.49
ORDER3524,CUST4472,2023-01-30,398.99
ORDER3525,CUST2263,2023-05-29,97.85
ORDER3526,CUST5642,2023-12-25,179.54
ORDER3527,CUST2915,2023-06-04,272.16
ORDER3528,CUST1487,2023-06-10,186.2
ORDER3529,CUST2764,2023-04-08,420.19
ORDER3530,CUST3279,2023-10-30,79.13
ORDER3531,CUST2382,2023-07-02,133.65
ORDER3532,CUST3250,2023-06-03,466.11
ORDER3533,CUST5276,2023-11-02,309.71
ORDER3534,CUST5750,2023-02-23,202.84
ORDER3535,CUST2488,2023-04-09,41.85
ORDER3536,CUST3070,2023-01-14,182.25
ORDER3537,CUST3063,2023-01-14,80.08
ORDER3538,CUST2825,2023-01-14,87.62
ORDER3539,CUST4164,2023-08-05,267.44
ORDER3540,CUST2291,2023-04-30,356.54
ORDER3541,CUST4891,2023-12-25,469.28
ORDER3542,CUST3220,2023-12-05,224.91
ORDER3543,CUST1758,2023-12-01,205.24
ORDER3544,CUST3798,2023-05-29,192.39
ORDER3545,CUST5782,2023-06-04,108.85
ORDER3546,CUST3546,2023-08-14,209.79
ORDER3547,CUST1270,2023-09-10,86.71
ORDER3548,CUST2141,2023-04-22,332.65
ORDER3549,CUST4451,2023-11-07,268.75
ORDER3550,CUST3199,2023-05-20,25.45
ORDER3551,CUST4566,2023-03-22,33.78
ORDER3552,CUST1148,2023-11-14,199.0
ORDER3553,CUST5285,2023-02-10,86.34
ORDER3554,CUST5007,2023-09-15,309.96
ORDER3555,CUST2130,2023-08-14,439.5
ORDER3556,CUST2486,2023-01-11,280.29
ORDER3557,CUST4877,2023-04-11,248.83
ORDER3558,CUST3379,2023-10-23,139.65
ORDER3559,CUST4783,2023-10-13,338.19
ORDER3560,CUST3006,2023-09-01,261.27
ORDER3561,CUST1233,2023-12-26,434.25
ORDER3562,CUST2597,2023-04-20,219.12
ORDER3563,CUST5652,2023-09-02,60.5
ORDER3564,CUST2916,2023-01-25,67.78
ORDER3565,CUST4323,2023-09-14,285.95
ORDER3566,CUST3617,2023-01-31,50.25
ORDER3567,CUST5248,2023-01-22,24.85
ORDER3568,CUST2479,2023-01-24,248.97
ORDER3569,CUST1714,2023-06-10,107.34
ORDER3570,CUST1570,2023-09-16,282.79
ORDER3571,CUST5236,2023-10-01,133.44
ORDER3572,CUST3662,2023-01-11,167.48
ORDER3573,CUST5465,2023-06-26,78.4
ORDER3574,CUST3525,2023-04-29,492.78
ORDER3575,CUST3979,2023-03-07,102.08
ORDER3576,CUST5299,2023-01-12,172.37
ORDER3577,CUST1176,2023-01-11,148.74
ORDER3578,CUST2961,2023-03-09,175.28
ORDER3579,CUST5494,2023-06-28,367.24
ORDER3580,CUST1819,2023-03-28,389.47
