OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,TotalPrice
DETAIL4060,ORDER5948,PROD4779,1,90.33,90.33
DETAIL4061,ORDER3698,PROD2954,4,77.49,309.96
DETAIL4062,ORDER7558,PROD3409,2,66.3,132.6
DETAIL4063,ORDER4600,PROD6892,4,40.17,160.68
DETAIL4064,ORDER3838,PROD3358,2,74.77,149.54
DETAIL4065,ORDER3631,PROD3839,3,96.2,288.6
DETAIL4066,ORDER3309,PROD6767,1,65.55,65.55
DETAIL4067,ORDER4893,PROD3691,4,16.69,66.76
DETAIL4068,ORDER4803,PROD2782,1,12.13,12.13
DETAIL4069,ORDER4266,PROD5260,2,95.42,190.84
DETAIL4070,ORDER7481,PROD2114,1,69.14,69.14
DETAIL4071,ORDER3664,PROD2825,2,33.98,67.96
DETAIL4072,ORDER5662,PROD6452,3,29.0,87.0
DETAIL4073,ORDER4163,PROD4138,2,73.6,147.2
DETAIL4074,ORDER3067,PROD6992,1,97.86,97.86
DETAIL4075,ORDER3563,PROD6958,1,40.16,40.16
DETAIL4076,ORDER6176,PROD4738,3,59.71,179.13
DETAIL4077,ORDER6916,PROD5143,3,27.49,82.47
DETAIL4078,ORDER5961,PROD5679,4,11.15,44.6
DETAIL4079,ORDER3322,PROD2190,2,66.5,133.0
DETAIL4080,ORDER3723,PROD2689,2,31.84,63.68
DETAIL4081,ORDER5209,PROD2506,2,59.41,118.82
DETAIL4082,ORDER5259,PROD4283,1,31.26,31.26
DETAIL4083,ORDER3718,PROD4661,1,43.66,43.66
DETAIL4084,ORDER3248,PROD3575,3,26.65,79.95
DETAIL4085,ORDER6520,PROD2605,1,36.04,36.04
DETAIL4086,ORDER5875,PROD3366,4,55.52,222.08
DETAIL4087,ORDER4667,PROD3236,4,65.76,263.04
DETAIL4088,ORDER3018,PROD4824,1,79.27,79.27
DETAIL4089,ORDER4458,PROD3338,4,92.39,369.56
DETAIL4090,ORDER3251,PROD5030,4,36.4,145.6
DETAIL4091,ORDER7697,PROD2812,4,79.55,318.2
DETAIL4092,ORDER7405,PROD4337,1,69.7,69.7
DETAIL4093,ORDER3556,PROD2563,3,81.57,244.71
DETAIL4094,ORDER6261,PROD6866,2,88.72,177.44
DETAIL4095,ORDER3800,PROD3745,1,30.33,30.33
DETAIL4096,ORDER7985,PROD5363,1,84.67,84.67
DETAIL4097,ORDER7449,PROD6908,2,19.45,38.9
DETAIL4098,ORDER5687,PROD5370,2,25.25,50.5
DETAIL4099,ORDER6146,PROD3393,2,42.46,84.92
DETAIL4100,ORDER3372,PROD6318,1,20.59,20.59
DETAIL4101,ORDER6848,PROD6413,4,55.4,221.6
DETAIL4102,ORDER7531,PROD6922,4,86.97,347.88
DETAIL4103,ORDER3650,PROD6755,4,26.37,105.48
DETAIL4104,ORDER3196,PROD2041,2,95.84,191.68
DETAIL4105,ORDER7714,PROD4310,3,27.86,83.58
DETAIL4106,ORDER3991,PROD4379,3,46.22,138.66
DETAIL4107,ORDER7776,PROD4838,2,70.31,140.62
DETAIL4108,ORDER6796,PROD4905,1,26.65,26.65
DETAIL4109,ORDER6490,PROD3902,1,25.56,25.56
DETAIL4110,ORDER6397,PROD2521,3,84.97,254.91
DETAIL4111,ORDER3782,PROD2977,1,95.57,95.57
DETAIL4112,ORDER6996,PROD3095,3,89.74,269.22
DETAIL4113,ORDER3237,PROD4559,3,43.78,131.34
DETAIL4114,ORDER4458,PROD3148,1,40.06,40.06
DETAIL4115,ORDER7059,PROD6912,4,51.7,206.8
DETAIL4116,ORDER3213,PROD5945,1,12.56,12.56
DETAIL4117,ORDER4497,PROD2930,3,94.09,282.27
DETAIL4118,ORDER4542,PROD2604,1,99.89,99.89
DETAIL4119,ORDER4311,PROD5622,4,26.9,107.6
DETAIL4120,ORDER7919,PROD5609,2,10.05,20.1
DETAIL4121,ORDER7442,PROD5036,2,93.07,186.14
DETAIL4122,ORDER3237,PROD5544,4,88.22,352.88
DETAIL4123,ORDER4684,PROD4884,3,21.39,64.17
DETAIL4124,ORDER3848,PROD6675,4,95.16,380.64
DETAIL4125,ORDER7022,PROD6494,2,53.42,106.84
DETAIL4126,ORDER6446,PROD4999,1,39.56,39.56
DETAIL4127,ORDER7698,PROD3561,3,27.0,81.0
DETAIL4128,ORDER4129,PROD2914,1,82.71,82.71
DETAIL4129,ORDER3386,PROD5781,4,27.76,111.04
DETAIL4130,ORDER4768,PROD6901,3,90.09,270.27
DETAIL4131,ORDER7843,PROD4137,3,73.94,221.82
DETAIL4132,ORDER4032,PROD6471,3,18.67,56.01
DETAIL4133,ORDER4522,PROD6758,4,25.33,101.32
DETAIL4134,ORDER5000,PROD5089,2,22.8,45.6
DETAIL4135,ORDER3444,PROD5606,1,56.5,56.5
DETAIL4136,ORDER3517,PROD3215,1,67.4,67.4
DETAIL4137,ORDER5167,PROD6893,2,51.77,103.54
DETAIL4138,ORDER6472,PROD5473,2,40.57,81.14
DETAIL4139,ORDER4036,PROD5319,3,30.0,90.0
DETAIL4140,ORDER6982,PROD5587,3,52.4,157.2
DETAIL4141,ORDER7719,PROD3187,1,58.69,58.69
DETAIL4142,ORDER5137,PROD2149,1,93.92,93.92
DETAIL4143,ORDER6765,PROD5579,2,47.24,94.48
DETAIL4144,ORDER4058,PROD6475,3,19.32,57.96
DETAIL4145,ORDER4643,PROD4275,3,46.74,140.22
DETAIL4146,ORDER7743,PROD3382,4,90.2,360.8
DETAIL4147,ORDER7360,PROD2182,3,95.63,286.89
DETAIL4148,ORDER7284,PROD2204,2,50.39,100.78
DETAIL4149,ORDER4024,PROD5962,4,55.31,221.24
DETAIL4150,ORDER6194,PROD4995,2,34.89,69.78
DETAIL4151,ORDER6204,PROD6312,2,54.2,108.4
DETAIL4152,ORDER7321,PROD3166,4,28.34,113.36
DETAIL4153,ORDER6290,PROD3942,4,72.99,291.96
DETAIL4154,ORDER6146,PROD6140,4,22.0,88.0
DETAIL4155,ORDER3443,PROD5544,2,88.22,176.44
DETAIL4156,ORDER6878,PROD2452,4,16.78,67.12
DETAIL4157,ORDER7415,PROD2967,4,58.56,234.24
DETAIL4158,ORDER3344,PROD4211,1,89.28,89.28
DETAIL4159,ORDER5969,PROD2762,3,65.29,195.87
DETAIL4160,ORDER5483,PROD4682,1,15.09,15.09
DETAIL4161,ORDER3603,PROD2298,2,66.86,133.72
DETAIL4162,ORDER7439,PROD3116,3,72.83,218.49
DETAIL4163,ORDER5706,PROD6548,1,44.55,44.55
DETAIL4164,ORDER7081,PROD4004,4,73.67,294.68
DETAIL4165,ORDER3469,PROD2672,2,28.45,56.9
DETAIL4166,ORDER4522,PROD5828,3,49.08,147.24
DETAIL4167,ORDER4197,PROD3817,1,40.62,40.62
DETAIL4168,ORDER5398,PROD5758,2,31.48,62.96
DETAIL4169,ORDER4402,PROD2380,4,74.99,299.96
DETAIL4170,ORDER4370,PROD3869,3,22.85,68.55
DETAIL4171,ORDER5160,PROD2847,2,41.93,83.86
DETAIL4172,ORDER7211,PROD5638,2,26.67,53.34
DETAIL4173,ORDER5919,PROD4868,1,73.12,73.12
DETAIL4174,ORDER3583,PROD4996,4,26.94,107.76
DETAIL4175,ORDER6517,PROD2538,3,48.35,145.05
DETAIL4176,ORDER4683,PROD4873,1,78.46,78.46
DETAIL4177,ORDER7720,PROD6594,4,41.79,167.16
DETAIL4178,ORDER6247,PROD5676,3,73.4,220.2
DETAIL4179,ORDER4648,PROD3675,2,44.53,89.06
DETAIL4180,ORDER6968,PROD2449,1,62.82,62.82
DETAIL4181,ORDER6545,PROD3166,2,28.34,56.68
DETAIL4182,ORDER5656,PROD2305,2,82.94,165.88
DETAIL4183,ORDER7892,PROD3870,3,44.07,132.21
DETAIL4184,ORDER4731,PROD2279,1,48.03,48.03
DETAIL4185,ORDER4875,PROD6512,1,42.93,42.93
DETAIL4186,ORDER7618,PROD3779,3,43.88,131.64
DETAIL4187,ORDER7709,PROD2669,3,24.96,74.88
DETAIL4188,ORDER3607,PROD2876,4,86.79,347.16
DETAIL4189,ORDER6501,PROD2531,3,45.07,135.21
DETAIL4190,ORDER6359,PROD3645,3,88.86,266.58
DETAIL4191,ORDER6564,PROD5515,3,17.04,51.12
DETAIL4192,ORDER4995,PROD6806,2,39.59,79.18
DETAIL4193,ORDER7968,PROD4122,2,63.08,126.16
DETAIL4194,ORDER5818,PROD6142,2,84.28,168.56
DETAIL4195,ORDER7845,PROD3462,4,48.17,192.68
DETAIL4196,ORDER4837,PROD3135,1,52.56,52.56
DETAIL4197,ORDER6832,PROD5779,3,48.08,144.24
DETAIL4198,ORDER4011,PROD6505,4,82.02,328.08
DETAIL4199,ORDER4355,PROD3537,4,55.52,222.08
DETAIL4200,ORDER4130,PROD4063,4,73.21,292.84
DETAIL4201,ORDER3093,PROD2356,4,81.54,326.16
DETAIL4202,ORDER5500,PROD5997,4,20.78,83.12
DETAIL4203,ORDER4907,PROD4932,3,12.06,36.18
DETAIL4204,ORDER4209,PROD4474,3,62.59,187.77
DETAIL4205,ORDER4196,PROD2953,4,60.15,240.6
DETAIL4206,ORDER3868,PROD3455,2,43.59,87.18
DETAIL4207,ORDER7021,PROD3146,1,12.41,12.41
DETAIL4208,ORDER7613,PROD2583,4,78.61,314.44
DETAIL4209,ORDER4248,PROD6366,4,10.71,42.84
DETAIL4210,ORDER6197,PROD2689,3,31.84,95.52
DETAIL4211,ORDER5182,PROD5286,2,67.05,134.1
DETAIL4212,ORDER3769,PROD6391,3,13.8,41.4
DETAIL4213,ORDER3720,PROD2697,4,70.22,280.88
DETAIL4214,ORDER4068,PROD6747,2,31.21,62.42
DETAIL4215,ORDER6064,PROD5542,4,26.37,105.48
DETAIL4216,ORDER5459,PROD3255,2,70.94,141.88
DETAIL4217,ORDER3606,PROD5394,3,17.4,52.2
DETAIL4218,ORDER6340,PROD2654,2,85.39,170.78
DETAIL4219,ORDER5266,PROD5710,3,14.89,44.67
DETAIL4220,ORDER4236,PROD4290,1,67.33,67.33
DETAIL4221,ORDER6324,PROD5030,2,36.4,72.8
DETAIL4222,ORDER4607,PROD4106,4,69.32,277.28
DETAIL4223,ORDER4561,PROD2817,2,87.45,174.9
DETAIL4224,ORDER7849,PROD4727,4,25.08,100.32
DETAIL4225,ORDER5980,PROD3237,2,20.88,41.76
DETAIL4226,ORDER5187,PROD4227,2,79.23,158.46
DETAIL4227,ORDER3776,PROD6303,2,98.69,197.38
DETAIL4228,ORDER3745,PROD3297,3,13.25,39.75
DETAIL4229,ORDER5399,PROD4280,3,78.67,236.01
DETAIL4230,ORDER6349,PROD5711,1,70.88,70.88
DETAIL4231,ORDER5708,PROD2329,3,11.72,35.16
DETAIL4232,ORDER5156,PROD6154,3,77.45,232.35
DETAIL4233,ORDER5237,PROD3204,2,22.7,45.4
DETAIL4234,ORDER4198,PROD6940,4,88.46,353.84
DETAIL4235,ORDER3009,PROD3597,4,13.82,55.28
DETAIL4236,ORDER7005,PROD5295,4,23.78,95.12
DETAIL4237,ORDER3149,PROD3147,4,62.79,251.16
DETAIL4238,ORDER4222,PROD6494,1,53.42,53.42
DETAIL4239,ORDER7812,PROD4257,2,74.13,148.26
DETAIL4240,ORDER5338,PROD3995,3,47.71,143.13
DETAIL4241,ORDER5758,PROD4347,2,13.53,27.06
DETAIL4242,ORDER7415,PROD4685,4,59.39,237.56
DETAIL4243,ORDER7080,PROD3699,2,98.1,196.2
DETAIL4244,ORDER3060,PROD3841,1,77.11,77.11
DETAIL4245,ORDER6188,PROD3062,2,59.49,118.98
DETAIL4246,ORDER7919,PROD2748,1,46.86,46.86
DETAIL4247,ORDER7341,PROD4746,3,38.84,116.52
DETAIL4248,ORDER7570,PROD6914,1,84.95,84.95
DETAIL4249,ORDER6674,PROD3225,1,47.35,47.35
DETAIL4250,ORDER7172,PROD4014,2,96.54,193.08
DETAIL4251,ORDER4036,PROD4129,2,12.94,25.88
DETAIL4252,ORDER4650,PROD5157,2,48.69,97.38
DETAIL4253,ORDER4769,PROD3588,4,70.04,280.16
DETAIL4254,ORDER7586,PROD2697,3,70.22,210.66
DETAIL4255,ORDER3186,PROD3280,2,65.58,131.16
DETAIL4256,ORDER7558,PROD4883,1,53.38,53.38
DETAIL4257,ORDER4191,PROD5557,4,26.33,105.32
DETAIL4258,ORDER4405,PROD2406,2,68.73,137.46
DETAIL4259,ORDER7358,PROD4490,4,18.99,75.96
DETAIL4260,ORDER6367,PROD3285,4,63.56,254.24
DETAIL4261,ORDER5990,PROD3932,3,25.43,76.29
DETAIL4262,ORDER5112,PROD5028,2,33.45,66.9
DETAIL4263,ORDER6061,PROD4820,1,82.43,82.43
DETAIL4264,ORDER4184,PROD4560,1,35.94,35.94
DETAIL4265,ORDER4943,PROD6380,4,90.59,362.36
DETAIL4266,ORDER5741,PROD5976,4,96.69,386.76
DETAIL4267,ORDER4382,PROD4685,3,59.39,178.17
DETAIL4268,ORDER4157,PROD4090,4,22.5,90.0
DETAIL4269,ORDER7412,PROD4327,3,84.56,253.68
DETAIL4270,ORDER5543,PROD4318,3,98.69,296.07
DETAIL4271,ORDER3915,PROD4103,4,92.48,369.92
DETAIL4272,ORDER7620,PROD5632,3,76.14,228.42
DETAIL4273,ORDER3805,PROD3977,3,87.54,262.62
DETAIL4274,ORDER6732,PROD5310,2,19.55,39.1
DETAIL4275,ORDER3428,PROD5723,4,98.2,392.8
DETAIL4276,ORDER3475,PROD2859,2,26.27,52.54
DETAIL4277,ORDER4056,PROD2466,3,21.64,64.92
DETAIL4278,ORDER4417,PROD5233,1,13.44,13.44
DETAIL4279,ORDER5918,PROD6005,3,67.07,201.21
DETAIL4280,ORDER7663,PROD4929,4,36.66,146.64
DETAIL4281,ORDER7515,PROD4120,2,92.38,184.76
DETAIL4282,ORDER5619,PROD3427,1,24.36,24.36
DETAIL4283,ORDER3006,PROD5973,4,58.44,233.76
DETAIL4284,ORDER6980,PROD3275,2,46.4,92.8
DETAIL4285,ORDER5352,PROD3465,4,79.45,317.8
DETAIL4286,ORDER5122,PROD3615,3,13.09,39.27
DETAIL4287,ORDER6417,PROD5222,2,35.3,70.6
DETAIL4288,ORDER3314,PROD2595,1,91.95,91.95
DETAIL4289,ORDER7249,PROD3686,2,32.2,64.4
DETAIL4290,ORDER6429,PROD4693,1,95.26,95.26
DETAIL4291,ORDER3045,PROD2641,4,67.3,269.2
DETAIL4292,ORDER6844,PROD2707,4,55.16,220.64
DETAIL4293,ORDER4821,PROD5508,4,11.37,45.48
DETAIL4294,ORDER5820,PROD5162,3,31.54,94.62
DETAIL4295,ORDER4628,PROD5740,1,74.91,74.91
DETAIL4296,ORDER3916,PROD3770,4,53.12,212.48
DETAIL4297,ORDER6753,PROD3454,1,87.84,87.84
DETAIL4298,ORDER6631,PROD3190,1,78.67,78.67
DETAIL4299,ORDER7448,PROD6005,1,67.07,67.07
DETAIL4300,ORDER7176,PROD4760,4,51.87,207.48
DETAIL4301,ORDER3718,PROD6952,2,12.38,24.76
DETAIL4302,ORDER7614,PROD2671,1,72.59,72.59
DETAIL4303,ORDER7482,PROD2491,1,41.56,41.56
DETAIL4304,ORDER6323,PROD6113,2,62.45,124.9
DETAIL4305,ORDER5011,PROD6863,3,35.58,106.74
DETAIL4306,ORDER6181,PROD4123,2,85.87,171.74
DETAIL4307,ORDER6167,PROD5001,1,52.77,52.77
DETAIL4308,ORDER4167,PROD2410,4,65.8,263.2
DETAIL4309,ORDER3931,PROD2206,4,69.3,277.2
DETAIL4310,ORDER6977,PROD4668,3,26.11,78.33
DETAIL4311,ORDER6248,PROD4929,4,36.66,146.64
DETAIL4312,ORDER7715,PROD5096,4,86.25,345.0
DETAIL4313,ORDER4969,PROD2709,3,15.65,46.95
DETAIL4314,ORDER7473,PROD6246,2,65.85,131.7
DETAIL4315,ORDER3351,PROD5483,3,72.02,216.06
DETAIL4316,ORDER6264,PROD5880,3,29.55,88.65
DETAIL4317,ORDER7386,PROD3149,4,18.79,75.16
DETAIL4318,ORDER7276,PROD2452,2,16.78,33.56
DETAIL4319,ORDER6584,PROD6930,1,88.67,88.67
DETAIL4320,ORDER3368,PROD2739,2,21.26,42.52
DETAIL4321,ORDER6424,PROD4067,4,21.52,86.08
DETAIL4322,ORDER3060,PROD3806,4,14.98,59.92
DETAIL4323,ORDER3976,PROD6093,4,75.69,302.76
DETAIL4324,ORDER7419,PROD3405,4,54.97,219.88
DETAIL4325,ORDER7406,PROD4609,3,59.23,177.69
DETAIL4326,ORDER5124,PROD2845,4,55.16,220.64
DETAIL4327,ORDER6327,PROD2688,2,14.09,28.18
DETAIL4328,ORDER3574,PROD2894,4,97.86,391.44
DETAIL4329,ORDER5781,PROD3229,1,88.45,88.45
DETAIL4330,ORDER5415,PROD5425,1,43.92,43.92
DETAIL4331,ORDER7955,PROD3124,2,30.0,60.0
DETAIL4332,ORDER4158,PROD6704,1,74.65,74.65
DETAIL4333,ORDER6190,PROD3240,2,55.08,110.16
DETAIL4334,ORDER6295,PROD6867,3,41.06,123.18
DETAIL4335,ORDER3205,PROD3812,1,51.71,51.71
DETAIL4336,ORDER6400,PROD5710,3,14.89,44.67
DETAIL4337,ORDER3466,PROD2962,2,29.06,58.12
DETAIL4338,ORDER5795,PROD3085,3,80.07,240.21
DETAIL4339,ORDER5481,PROD5593,3,94.83,284.49
DETAIL4340,ORDER5880,PROD5595,2,22.01,44.02
DETAIL4341,ORDER7667,PROD3719,1,40.58,40.58
DETAIL4342,ORDER4345,PROD2129,3,69.12,207.36
DETAIL4343,ORDER4748,PROD6900,4,76.85,307.4
DETAIL4344,ORDER5781,PROD4346,2,52.25,104.5
DETAIL4345,ORDER3635,PROD5039,4,96.35,385.4
DETAIL4346,ORDER5024,PROD6654,2,80.38,160.76
DETAIL4347,ORDER4234,PROD5492,1,60.17,60.17
DETAIL4348,ORDER5208,PROD2011,3,43.16,129.48
DETAIL4349,ORDER3454,PROD4453,2,57.07,114.14
DETAIL4350,ORDER3866,PROD5122,4,43.38,173.52
DETAIL4351,ORDER7045,PROD4354,4,57.76,231.04
DETAIL4352,ORDER7425,PROD6254,2,56.09,112.18
DETAIL4353,ORDER6739,PROD6656,2,38.13,76.26
DETAIL4354,ORDER3132,PROD6290,3,59.7,179.1
DETAIL4355,ORDER4995,PROD4803,2,14.64,29.28
DETAIL4356,ORDER4455,PROD6671,3,73.23,219.69
DETAIL4357,ORDER4867,PROD2635,3,99.65,298.95
DETAIL4358,ORDER6871,PROD4385,3,82.32,246.96
DETAIL4359,ORDER6086,PROD3346,1,49.67,49.67
DETAIL4360,ORDER4767,PROD3819,4,40.76,163.04
DETAIL4361,ORDER5591,PROD2364,3,52.84,158.52
DETAIL4362,ORDER7507,PROD2878,2,56.06,112.12
DETAIL4363,ORDER4833,PROD4424,1,56.01,56.01
DETAIL4364,ORDER5514,PROD4669,3,28.3,84.9
DETAIL4365,ORDER3311,PROD2754,3,52.21,156.63
DETAIL4366,ORDER6826,PROD3514,3,16.87,50.61
DETAIL4367,ORDER3337,PROD5529,4,38.84,155.36
DETAIL4368,ORDER5855,PROD4430,4,12.18,48.72
DETAIL4369,ORDER4917,PROD6568,2,76.61,153.22
DETAIL4370,ORDER7577,PROD5268,1,59.08,59.08
DETAIL4371,ORDER7680,PROD3553,4,10.81,43.24
DETAIL4372,ORDER5353,PROD4463,4,36.02,144.08
DETAIL4373,ORDER4890,PROD4292,2,61.53,123.06
DETAIL4374,ORDER4002,PROD6051,2,17.98,35.96
DETAIL4375,ORDER5442,PROD2037,1,43.52,43.52
DETAIL4376,ORDER7922,PROD3206,4,36.25,145.0
DETAIL4377,ORDER5915,PROD6355,4,56.49,225.96
DETAIL4378,ORDER6966,PROD5508,3,11.37,34.11
DETAIL4379,ORDER5068,PROD5648,3,83.08,249.24
DETAIL4380,ORDER6498,PROD3468,1,79.29,79.29
DETAIL4381,ORDER4037,PROD5327,4,38.86,155.44
DETAIL4382,ORDER4662,PROD6250,2,25.53,51.06
DETAIL4383,ORDER4115,PROD4997,4,13.6,54.4
DETAIL4384,ORDER5926,PROD6010,2,24.4,48.8
DETAIL4385,ORDER5196,PROD3577,1,57.14,57.14
DETAIL4386,ORDER6721,PROD6311,4,82.54,330.16
DETAIL4387,ORDER3939,PROD2350,3,68.45,205.35
DETAIL4388,ORDER6550,PROD3698,4,74.34,297.36
DETAIL4389,ORDER7735,PROD5812,4,27.16,108.64
DETAIL4390,ORDER7747,PROD6771,2,71.37,142.74
DETAIL4391,ORDER4157,PROD5512,3,19.8,59.4
DETAIL4392,ORDER6936,PROD6005,3,67.07,201.21
DETAIL4393,ORDER6615,PROD5959,4,95.01,380.04
DETAIL4394,ORDER7551,PROD2468,3,93.77,281.31
DETAIL4395,ORDER7900,PROD6118,4,18.6,74.4
DETAIL4396,ORDER7506,PROD4157,4,72.42,289.68
DETAIL4397,ORDER6272,PROD4868,1,73.12,73.12
DETAIL4398,ORDER7731,PROD5295,3,23.78,71.34
DETAIL4399,ORDER5646,PROD4399,4,86.41,345.64
DETAIL4400,ORDER6613,PROD3314,2,56.1,112.2
DETAIL4401,ORDER3792,PROD5964,4,54.35,217.4
DETAIL4402,ORDER5120,PROD3657,4,75.67,302.68
DETAIL4403,ORDER3400,PROD4943,1,59.6,59.6
DETAIL4404,ORDER5918,PROD6717,1,48.29,48.29
DETAIL4405,ORDER7146,PROD5590,4,55.51,222.04
DETAIL4406,ORDER4150,PROD4151,2,18.64,37.28
DETAIL4407,ORDER4395,PROD4999,1,39.56,39.56
DETAIL4408,ORDER5815,PROD5558,4,82.36,329.44
DETAIL4409,ORDER4025,PROD6469,3,24.28,72.84
DETAIL4410,ORDER5755,PROD4598,4,35.53,142.12
DETAIL4411,ORDER7483,PROD3643,3,68.96,206.88
DETAIL4412,ORDER4725,PROD5911,4,79.58,318.32
DETAIL4413,ORDER4015,PROD2680,3,22.32,66.96
DETAIL4414,ORDER5699,PROD5029,2,71.27,142.54
DETAIL4415,ORDER6583,PROD3153,4,80.02,320.08
DETAIL4416,ORDER3252,PROD3504,2,25.05,50.1
DETAIL4417,ORDER6112,PROD2237,4,78.28,313.12
DETAIL4418,ORDER6693,PROD3704,1,21.48,21.48
DETAIL4419,ORDER6608,PROD3658,4,98.57,394.28
DETAIL4420,ORDER7826,PROD5999,2,31.55,63.1
DETAIL4421,ORDER7150,PROD4950,3,54.16,162.48
DETAIL4422,ORDER4816,PROD4805,4,39.63,158.52
DETAIL4423,ORDER4675,PROD4835,2,66.25,132.5
DETAIL4424,ORDER3335,PROD2024,4,90.87,363.48
DETAIL4425,ORDER5523,PROD5898,4,39.66,158.64
DETAIL4426,ORDER4435,PROD6901,2,90.09,180.18
DETAIL4427,ORDER5947,PROD5486,3,72.01,216.03
DETAIL4428,ORDER6010,PROD3138,1,60.85,60.85
DETAIL4429,ORDER5494,PROD3842,1,51.71,51.71
DETAIL4430,ORDER4241,PROD2182,2,95.63,191.26
DETAIL4431,ORDER6233,PROD5419,1,36.83,36.83
DETAIL4432,ORDER6905,PROD6022,3,41.57,124.71
DETAIL4433,ORDER6537,PROD5614,4,25.18,100.72
DETAIL4434,ORDER6803,PROD3500,4,43.21,172.84
DETAIL4435,ORDER5712,PROD4582,4,88.16,352.64
DETAIL4436,ORDER6039,PROD4762,1,96.4,96.4
DETAIL4437,ORDER7463,PROD3820,4,24.63,98.52
DETAIL4438,ORDER7499,PROD5023,3,96.96,290.88
DETAIL4439,ORDER4723,PROD5966,4,98.06,392.24
DETAIL4440,ORDER5210,PROD4735,2,39.2,78.4
DETAIL4441,ORDER6437,PROD6461,4,22.37,89.48
DETAIL4442,ORDER3117,PROD4188,2,96.12,192.24
DETAIL4443,ORDER5629,PROD2735,2,35.05,70.1
DETAIL4444,ORDER5384,PROD3589,4,21.45,85.8
DETAIL4445,ORDER3986,PROD5943,3,45.28,135.84
DETAIL4446,ORDER3076,PROD5288,4,32.8,131.2
DETAIL4447,ORDER3048,PROD2743,3,62.34,187.02
DETAIL4448,ORDER5451,PROD2782,4,12.13,48.52
