ShipmentID,OrderID,ShipmentDate,Carrier,TrackingNumber,Status
SHIP5088,ORDER3088,2023-12-19,DHL,1Z8468598,In Transit
SHIP5089,ORDER3089,2023-06-08,USPS,1Z8031223,Delivered
SHIP5090,ORDER3090,2023-06-06,USPS,1Z1665826,Delivered
SHIP5091,ORDER3091,2023-12-24,FedEx,1Z5771817,Delivered
SHIP5092,ORDER3092,2023-04-18,DHL,1Z4750172,Shipped
SHIP5093,ORDER3093,2023-07-04,USPS,1Z8126378,Shipped
SHIP5094,ORDER3094,2023-05-08,FedEx,1Z8035264,Shipped
SHIP5095,ORDER3095,2023-06-27,FedEx,1Z8871340,In Transit
SHIP5096,ORDER3096,2023-11-08,DHL,1Z3650972,In Transit
SHIP5097,ORDER3097,2023-04-26,FedEx,1Z3160967,In Transit
SHIP5098,ORDER3098,2023-10-17,UPS,1Z7842681,In Transit
SHIP5099,ORDER3099,2023-07-13,DHL,1Z6061354,In Transit
SHIP5100,ORDER3100,2023-10-28,USPS,1Z2051691,In Transit
SHIP5101,ORDER3101,2023-10-27,FedEx,1Z5192205,Shipped
SHIP5102,ORDER3102,2023-05-19,USPS,1Z6012652,In Transit
SHIP5103,ORDER3103,2023-02-10,USPS,1Z8304469,Delivered
SHIP5104,ORDER3104,2023-01-02,FedEx,1Z9755058,In Transit
SHIP5105,ORDER3105,2023-05-18,FedEx,1Z9910616,Shipped
SHIP5106,ORDER3106,2023-09-15,UPS,1Z5439223,In Transit
SHIP5107,ORDER3107,2023-12-27,USPS,1Z7846227,Delivered
SHIP5108,ORDER3108,2023-07-19,DHL,1Z6771921,In Transit
SHIP5109,ORDER3109,2023-06-12,USPS,1Z7093565,Delivered
SHIP5110,ORDER3110,2023-03-16,UPS,1Z6733875,Shipped
SHIP5111,ORDER3111,2023-05-09,USPS,1Z5576684,Shipped
SHIP5112,ORDER3112,2023-02-10,FedEx,1Z8123749,In Transit
SHIP5113,ORDER3113,2023-06-18,DHL,1Z3507922,Shipped
SHIP5114,ORDER3114,2023-11-02,USPS,1Z3862763,In Transit
SHIP5115,ORDER3115,2023-02-11,UPS,1Z7901692,In Transit
SHIP5116,ORDER3116,2023-10-10,FedEx,1Z9766925,Shipped
SHIP5117,ORDER3117,2023-04-20,DHL,1Z8702574,Shipped
SHIP5118,ORDER3118,2023-12-03,DHL,1Z8979825,Shipped
SHIP5119,ORDER3119,2023-12-16,FedEx,1Z5068480,Delivered
SHIP5120,ORDER3120,2023-03-13,UPS,1Z3627746,Delivered
SHIP5121,ORDER3121,2023-04-28,UPS,1Z6413454,In Transit
SHIP5122,ORDER3122,2023-08-20,DHL,1Z1641885,In Transit
SHIP5123,ORDER3123,2023-07-11,UPS,1Z7496035,Delivered
SHIP5124,ORDER3124,2023-02-06,UPS,1Z5925223,In Transit
SHIP5125,ORDER3125,2023-10-23,UPS,1Z7165472,Shipped
SHIP5126,ORDER3126,2023-12-07,DHL,1Z4000114,Delivered
SHIP5127,ORDER3127,2023-08-09,DHL,1Z7400666,Delivered
SHIP5128,ORDER3128,2023-09-06,FedEx,1Z9661189,In Transit
SHIP5129,ORDER3129,2023-01-29,UPS,1Z2438413,In Transit
SHIP5130,ORDER3130,2023-02-16,USPS,1Z5909135,Delivered
SHIP5131,ORDER3131,2023-01-01,FedEx,1Z3123863,In Transit
SHIP5132,ORDER3132,2023-04-10,FedEx,1Z2138438,Shipped
SHIP5133,ORDER3133,2023-03-21,DHL,1Z9123242,In Transit
SHIP5134,ORDER3134,2023-10-31,UPS,1Z4451137,Delivered
SHIP5135,ORDER3135,2023-09-27,DHL,1Z5008614,Delivered
SHIP5136,ORDER3136,2023-07-03,FedEx,1Z4135368,In Transit
SHIP5137,ORDER3137,2023-02-16,DHL,1Z3395576,Shipped
SHIP5138,ORDER3138,2023-03-18,FedEx,1Z1490564,Delivered
SHIP5139,ORDER3139,2023-09-14,UPS,1Z4446665,In Transit
SHIP5140,ORDER3140,2023-06-01,DHL,1Z2227444,Delivered
SHIP5141,ORDER3141,2023-03-25,DHL,1Z5711526,Delivered
SHIP5142,ORDER3142,2023-01-20,USPS,1Z2196746,In Transit
SHIP5143,ORDER3143,2023-01-12,UPS,1Z5309942,Shipped
SHIP5144,ORDER3144,2023-09-27,FedEx,1Z7439306,Delivered
SHIP5145,ORDER3145,2023-11-07,FedEx,1Z8956069,In Transit
SHIP5146,ORDER3146,2023-05-21,DHL,1Z3023320,Delivered
SHIP5147,ORDER3147,2023-07-01,FedEx,1Z8455401,Delivered
SHIP5148,ORDER3148,2023-07-05,USPS,1Z4733295,Delivered
SHIP5149,ORDER3149,2023-09-17,UPS,1Z8770240,In Transit
SHIP5150,ORDER3150,2023-04-07,FedEx,1Z5063881,Delivered
SHIP5151,ORDER3151,2023-04-24,UPS,1Z1482323,In Transit
SHIP5152,ORDER3152,2023-01-14,USPS,1Z1023764,In Transit
SHIP5153,ORDER3153,2023-04-25,DHL,1Z5872534,Delivered
SHIP5154,ORDER3154,2023-01-26,USPS,1Z4685878,In Transit
SHIP5155,ORDER3155,2023-09-15,DHL,1Z3154803,Delivered
SHIP5156,ORDER3156,2023-08-31,USPS,1Z4602457,Delivered
SHIP5157,ORDER3157,2023-03-12,FedEx,1Z7080977,Shipped
SHIP5158,ORDER3158,2023-12-19,USPS,1Z5696726,Delivered
SHIP5159,ORDER3159,2023-05-18,DHL,1Z7439878,Shipped
SHIP5160,ORDER3160,2023-06-18,USPS,1Z3866381,Delivered
SHIP5161,ORDER3161,2023-04-02,DHL,1Z8045480,Shipped
SHIP5162,ORDER3162,2023-12-02,UPS,1Z9887246,Delivered
SHIP5163,ORDER3163,2023-01-07,FedEx,1Z2267905,Delivered
SHIP5164,ORDER3164,2023-05-20,DHL,1Z6180694,Shipped
SHIP5165,ORDER3165,2023-02-22,DHL,1Z4060359,In Transit
SHIP5166,ORDER3166,2023-12-23,DHL,1Z7917722,Delivered
SHIP5167,ORDER3167,2023-03-04,FedEx,1Z7011460,Shipped
SHIP5168,ORDER3168,2023-01-16,UPS,1Z7965385,Shipped
SHIP5169,ORDER3169,2023-09-24,DHL,1Z7577751,In Transit
SHIP5170,ORDER3170,2023-05-19,USPS,1Z4229742,In Transit
SHIP5171,ORDER3171,2023-01-22,FedEx,1Z1272269,Delivered
SHIP5172,ORDER3172,2023-10-11,UPS,1Z6778867,In Transit
SHIP5173,ORDER3173,2023-08-27,FedEx,1Z5111511,Delivered
SHIP5174,ORDER3174,2023-10-19,USPS,1Z9902298,In Transit
SHIP5175,ORDER3175,2023-04-01,FedEx,1Z5139434,In Transit
SHIP5176,ORDER3176,2023-07-12,FedEx,1Z2598398,Delivered
SHIP5177,ORDER3177,2023-06-28,DHL,1Z7427817,In Transit
SHIP5178,ORDER3178,2023-04-12,DHL,1Z1378645,In Transit
SHIP5179,ORDER3179,2023-04-24,USPS,1Z3501969,Delivered
SHIP5180,ORDER3180,2023-03-24,UPS,1Z5624421,Shipped
SHIP5181,ORDER3181,2023-12-19,USPS,1Z4795062,Delivered
SHIP5182,ORDER3182,2023-02-03,UPS,1Z3654015,In Transit
SHIP5183,ORDER3183,2023-02-10,FedEx,1Z5436252,Delivered
SHIP5184,ORDER3184,2023-08-23,FedEx,1Z1365847,Delivered
SHIP5185,ORDER3185,2023-07-19,DHL,1Z3404191,Shipped
SHIP5186,ORDER3186,2023-03-13,FedEx,1Z9929971,Shipped
SHIP5187,ORDER3187,2023-05-27,FedEx,1Z4376702,In Transit
SHIP5188,ORDER3188,2023-01-08,USPS,1Z9090453,Shipped
SHIP5189,ORDER3189,2023-10-31,FedEx,1Z3528575,In Transit
SHIP5190,ORDER3190,2023-02-03,DHL,1Z1388523,Shipped
SHIP5191,ORDER3191,2023-04-19,FedEx,1Z9937556,In Transit
SHIP5192,ORDER3192,2023-05-29,DHL,1Z4692739,Delivered
SHIP5193,ORDER3193,2023-11-21,FedEx,1Z2837725,In Transit
SHIP5194,ORDER3194,2023-12-19,UPS,1Z6521911,In Transit
SHIP5195,ORDER3195,2023-07-08,USPS,1Z3244038,Shipped
SHIP5196,ORDER3196,2023-02-06,UPS,1Z1006827,Delivered
SHIP5197,ORDER3197,2023-11-24,USPS,1Z9541436,Delivered
SHIP5198,ORDER3198,2023-04-26,UPS,1Z4541712,Shipped
SHIP5199,ORDER3199,2023-07-22,USPS,1Z9712368,Delivered
SHIP5200,ORDER3200,2023-12-23,FedEx,1Z3672922,Shipped
SHIP5201,ORDER3201,2023-06-29,DHL,1Z7864365,Delivered
SHIP5202,ORDER3202,2023-08-30,USPS,1Z2692437,Delivered
SHIP5203,ORDER3203,2023-05-02,UPS,1Z5577713,In Transit
SHIP5204,ORDER3204,2023-02-26,FedEx,1Z7772731,Shipped
SHIP5205,ORDER3205,2023-01-30,DHL,1Z8725166,Delivered
SHIP5206,ORDER3206,2023-08-05,USPS,1Z7525383,Delivered
SHIP5207,ORDER3207,2023-04-11,FedEx,1Z2230805,Shipped
SHIP5208,ORDER3208,2023-05-15,FedEx,1Z3862384,Delivered
SHIP5209,ORDER3209,2023-09-20,UPS,1Z4620610,In Transit
SHIP5210,ORDER3210,2023-08-04,UPS,1Z6344167,Shipped
SHIP5211,ORDER3211,2023-04-19,USPS,1Z1352490,In Transit
SHIP5212,ORDER3212,2023-01-14,UPS,1Z9765478,Delivered
SHIP5213,ORDER3213,2023-12-02,USPS,1Z1826092,Shipped
SHIP5214,ORDER3214,2023-05-17,DHL,1Z7048233,In Transit
SHIP5215,ORDER3215,2023-12-21,DHL,1Z2151703,Shipped
SHIP5216,ORDER3216,2023-07-30,USPS,1Z2089076,In Transit
SHIP5217,ORDER3217,2023-05-09,UPS,1Z5462282,In Transit
SHIP5218,ORDER3218,2023-01-20,USPS,1Z5171422,Delivered
SHIP5219,ORDER3219,2023-07-29,FedEx,1Z2879813,Delivered
SHIP5220,ORDER3220,2023-05-05,USPS,1Z3526437,Delivered
SHIP5221,ORDER3221,2023-11-12,FedEx,1Z1102131,Delivered
SHIP5222,ORDER3222,2023-03-01,USPS,1Z6322964,In Transit
SHIP5223,ORDER3223,2023-10-31,UPS,1Z4860119,Shipped
SHIP5224,ORDER3224,2023-10-22,FedEx,1Z1155016,Shipped
SHIP5225,ORDER3225,2023-06-23,FedEx,1Z9610572,In Transit
SHIP5226,ORDER3226,2023-10-04,DHL,1Z9070618,In Transit
SHIP5227,ORDER3227,2023-02-24,USPS,1Z9277562,Delivered
SHIP5228,ORDER3228,2023-10-21,UPS,1Z2085863,In Transit
SHIP5229,ORDER3229,2023-12-25,USPS,1Z5908003,Shipped
SHIP5230,ORDER3230,2023-06-20,UPS,1Z5114452,Delivered
SHIP5231,ORDER3231,2023-07-08,UPS,1Z1653053,Shipped
SHIP5232,ORDER3232,2023-05-16,USPS,1Z9119604,Shipped
SHIP5233,ORDER3233,2023-03-03,FedEx,1Z7662413,Shipped
SHIP5234,ORDER3234,2023-07-29,FedEx,1Z9170204,Shipped
SHIP5235,ORDER3235,2023-01-07,FedEx,1Z3332551,Delivered
SHIP5236,ORDER3236,2023-02-02,FedEx,1Z9873117,In Transit
SHIP5237,ORDER3237,2023-11-05,UPS,1Z2140174,In Transit
SHIP5238,ORDER3238,2023-12-08,USPS,1Z4214959,Shipped
SHIP5239,ORDER3239,2023-04-19,UPS,1Z3004728,In Transit
SHIP5240,ORDER3240,2023-12-24,UPS,1Z5165630,In Transit
SHIP5241,ORDER3241,2023-08-05,FedEx,1Z5933237,Shipped
SHIP5242,ORDER3242,2023-12-13,DHL,1Z8896440,Delivered
SHIP5243,ORDER3243,2023-11-17,UPS,1Z6903177,Delivered
SHIP5244,ORDER3244,2023-07-20,DHL,1Z9679631,Shipped
SHIP5245,ORDER3245,2023-01-17,UPS,1Z7604821,Shipped
SHIP5246,ORDER3246,2023-07-23,DHL,1Z9310012,In Transit
SHIP5247,ORDER3247,2023-08-01,DHL,1Z4155009,Shipped
SHIP5248,ORDER3248,2023-10-07,FedEx,1Z5663695,Delivered
SHIP5249,ORDER3249,2023-03-22,FedEx,1Z4296084,In Transit
SHIP5250,ORDER3250,2023-07-03,FedEx,1Z5624619,In Transit
SHIP5251,ORDER3251,2023-10-25,UPS,1Z9623108,Delivered
SHIP5252,ORDER3252,2023-09-02,FedEx,1Z1270347,Shipped
SHIP5253,ORDER3253,2023-09-27,UPS,1Z4635979,In Transit
SHIP5254,ORDER3254,2023-10-21,FedEx,1Z3845753,In Transit
SHIP5255,ORDER3255,2023-07-31,UPS,1Z3332446,Delivered
SHIP5256,ORDER3256,2023-06-06,DHL,1Z3562494,Shipped
SHIP5257,ORDER3257,2023-09-09,UPS,1Z7271645,Delivered
SHIP5258,ORDER3258,2023-12-17,FedEx,1Z1258026,Shipped
SHIP5259,ORDER3259,2023-07-17,USPS,1Z8556637,Shipped
SHIP5260,ORDER3260,2023-08-19,USPS,1Z5086178,Shipped
SHIP5261,ORDER3261,2023-06-09,USPS,1Z8213310,Delivered
SHIP5262,ORDER3262,2023-05-14,USPS,1Z8549072,In Transit
SHIP5263,ORDER3263,2023-02-22,DHL,1Z5492035,In Transit
SHIP5264,ORDER3264,2023-09-15,FedEx,1Z4524263,Delivered
SHIP5265,ORDER3265,2023-12-07,USPS,1Z1595548,Delivered
SHIP5266,ORDER3266,2023-02-03,FedEx,1Z5348431,Delivered
SHIP5267,ORDER3267,2023-02-09,UPS,1Z6694244,In Transit
SHIP5268,ORDER3268,2023-04-23,DHL,1Z5962723,Shipped
SHIP5269,ORDER3269,2023-07-16,UPS,1Z1611768,In Transit
SHIP5270,ORDER3270,2023-04-17,FedEx,1Z2621949,Shipped
SHIP5271,ORDER3271,2023-11-29,FedEx,1Z1734496,In Transit
SHIP5272,ORDER3272,2023-02-13,DHL,1Z9593469,Shipped
SHIP5273,ORDER3273,2023-11-12,UPS,1Z7078653,Shipped
SHIP5274,ORDER3274,2023-06-15,USPS,1Z9001866,Delivered
SHIP5275,ORDER3275,2023-10-31,DHL,1Z2410252,Shipped
SHIP5276,ORDER3276,2023-06-02,DHL,1Z4129527,Shipped
SHIP5277,ORDER3277,2023-02-05,DHL,1Z9716995,In Transit
SHIP5278,ORDER3278,2023-05-05,USPS,1Z9891714,Shipped
SHIP5279,ORDER3279,2023-11-29,UPS,1Z6892867,In Transit
SHIP5280,ORDER3280,2023-05-09,UPS,1Z8294710,Shipped
SHIP5281,ORDER3281,2023-08-30,FedEx,1Z2189961,Shipped
SHIP5282,ORDER3282,2023-03-27,FedEx,1Z8002269,In Transit
SHIP5283,ORDER3283,2023-03-15,DHL,1Z9101990,In Transit
SHIP5284,ORDER3284,2023-08-25,USPS,1Z1682109,Delivered
SHIP5285,ORDER3285,2023-03-08,DHL,1Z5335444,Delivered
SHIP5286,ORDER3286,2023-05-01,DHL,1Z3428742,Shipped
SHIP5287,ORDER3287,2023-04-20,FedEx,1Z9337797,In Transit
SHIP5288,ORDER3288,2023-04-08,DHL,1Z9784780,Shipped
SHIP5289,ORDER3289,2023-06-15,FedEx,1Z9729661,In Transit
SHIP5290,ORDER3290,2023-10-06,USPS,1Z7737217,Shipped
SHIP5291,ORDER3291,2023-01-22,UPS,1Z9768711,In Transit
SHIP5292,ORDER3292,2023-01-04,DHL,1Z7454701,Shipped
SHIP5293,ORDER3293,2023-10-21,USPS,1Z5548198,Delivered
SHIP5294,ORDER3294,2023-09-26,USPS,1Z4559962,Shipped
SHIP5295,ORDER3295,2023-08-14,USPS,1Z9820014,Delivered
SHIP5296,ORDER3296,2023-09-06,DHL,1Z4340995,Delivered
SHIP5297,ORDER3297,2023-06-04,USPS,1Z6342169,In Transit
SHIP5298,ORDER3298,2023-11-20,FedEx,1Z8621533,Delivered
SHIP5299,ORDER3299,2023-02-06,UPS,1Z3144411,Shipped
SHIP5300,ORDER3300,2023-05-02,USPS,1Z3676362,Shipped
SHIP5301,ORDER3301,2023-07-05,DHL,1Z9129252,Shipped
SHIP5302,ORDER3302,2023-01-09,DHL,1Z5691189,In Transit
SHIP5303,ORDER3303,2023-07-01,USPS,1Z2967489,Shipped
SHIP5304,ORDER3304,2023-03-07,UPS,1Z6280265,In Transit
SHIP5305,ORDER3305,2023-06-20,DHL,1Z5710229,In Transit
SHIP5306,ORDER3306,2023-02-12,DHL,1Z2279264,Delivered
SHIP5307,ORDER3307,2023-09-23,USPS,1Z3326157,Delivered
SHIP5308,ORDER3308,2023-01-10,DHL,1Z3071867,Shipped
SHIP5309,ORDER3309,2023-06-01,DHL,1Z8405703,In Transit
SHIP5310,ORDER3310,2023-04-04,USPS,1Z3431381,In Transit
SHIP5311,ORDER3311,2023-06-23,FedEx,1Z9294817,Shipped
SHIP5312,ORDER3312,2023-07-14,DHL,1Z5057945,In Transit
SHIP5313,ORDER3313,2023-04-20,FedEx,1Z5887210,Delivered
SHIP5314,ORDER3314,2023-05-19,FedEx,1Z1573730,Delivered
SHIP5315,ORDER3315,2023-11-07,FedEx,1Z3248776,In Transit
SHIP5316,ORDER3316,2023-07-14,UPS,1Z3139939,Delivered
SHIP5317,ORDER3317,2023-03-04,UPS,1Z9770135,Delivered
SHIP5318,ORDER3318,2023-09-09,FedEx,1Z4577624,In Transit
SHIP5319,ORDER3319,2023-10-07,FedEx,1Z4404946,Delivered
SHIP5320,ORDER3320,2023-08-05,USPS,1Z7569008,In Transit
SHIP5321,ORDER3321,2023-12-24,FedEx,1Z9793921,Shipped
SHIP5322,ORDER3322,2023-03-30,FedEx,1Z5371539,Shipped
SHIP5323,ORDER3323,2023-12-31,UPS,1Z5987076,Shipped
SHIP5324,ORDER3324,2023-11-03,FedEx,1Z6720930,Shipped
SHIP5325,ORDER3325,2023-11-12,DHL,1Z4963365,In Transit
SHIP5326,ORDER3326,2023-11-09,UPS,1Z3852080,Shipped
SHIP5327,ORDER3327,2023-09-22,DHL,1Z9497230,Shipped
SHIP5328,ORDER3328,2023-11-23,FedEx,1Z5802512,Shipped
SHIP5329,ORDER3329,2023-07-17,USPS,1Z5060753,In Transit
SHIP5330,ORDER3330,2023-12-26,UPS,1Z5738301,In Transit
SHIP5331,ORDER3331,2023-04-15,USPS,1Z1034405,In Transit
SHIP5332,ORDER3332,2023-02-11,DHL,1Z5533394,Shipped
SHIP5333,ORDER3333,2023-07-28,UPS,1Z1099628,Shipped
SHIP5334,ORDER3334,2023-10-09,UPS,1Z4701078,Shipped
SHIP5335,ORDER3335,2023-08-12,USPS,1Z2178610,Shipped
SHIP5336,ORDER3336,2023-09-19,UPS,1Z4348096,Delivered
SHIP5337,ORDER3337,2023-02-17,UPS,1Z9850465,Delivered
SHIP5338,ORDER3338,2023-11-08,USPS,1Z6358106,Shipped
SHIP5339,ORDER3339,2023-09-16,UPS,1Z9560739,In Transit
SHIP5340,ORDER3340,2023-03-17,UPS,1Z1342923,In Transit
SHIP5341,ORDER3341,2023-08-01,FedEx,1Z5199318,In Transit
SHIP5342,ORDER3342,2023-08-20,DHL,1Z2000061,In Transit
SHIP5343,ORDER3343,2023-03-15,UPS,1Z2181225,Shipped
SHIP5344,ORDER3344,2023-01-20,DHL,1Z8797706,Shipped
SHIP5345,ORDER3345,2023-11-11,DHL,1Z7376150,In Transit
SHIP5346,ORDER3346,2023-08-25,USPS,1Z5778048,Shipped
SHIP5347,ORDER3347,2023-09-19,UPS,1Z5279278,In Transit
SHIP5348,ORDER3348,2023-03-25,FedEx,1Z4734486,Delivered
SHIP5349,ORDER3349,2023-01-27,USPS,1Z1162702,Delivered
SHIP5350,ORDER3350,2023-03-20,FedEx,1Z8519547,Shipped
SHIP5351,ORDER3351,2023-04-04,FedEx,1Z6717315,Shipped
SHIP5352,ORDER3352,2023-08-19,UPS,1Z5613963,In Transit
SHIP5353,ORDER3353,2023-01-09,DHL,1Z1058663,Shipped
SHIP5354,ORDER3354,2023-01-03,DHL,1Z8700994,In Transit
SHIP5355,ORDER3355,2023-05-08,UPS,1Z2660685,In Transit
SHIP5356,ORDER3356,2023-12-13,USPS,1Z8480884,In Transit
SHIP5357,ORDER3357,2023-05-18,FedEx,1Z1793142,In Transit
SHIP5358,ORDER3358,2023-06-20,FedEx,1Z4740331,Delivered
SHIP5359,ORDER3359,2023-05-26,DHL,1Z8951450,Shipped
SHIP5360,ORDER3360,2023-08-30,UPS,1Z2148570,Delivered
SHIP5361,ORDER3361,2023-05-05,UPS,1Z8090018,Shipped
SHIP5362,ORDER3362,2023-06-12,USPS,1Z3434029,Delivered
SHIP5363,ORDER3363,2023-08-25,USPS,1Z5073617,In Transit
SHIP5364,ORDER3364,2023-04-18,DHL,1Z2551032,Delivered
SHIP5365,ORDER3365,2023-06-30,USPS,1Z7966370,Delivered
SHIP5366,ORDER3366,2023-11-22,USPS,1Z5047491,Delivered
SHIP5367,ORDER3367,2023-08-22,DHL,1Z2852158,In Transit
SHIP5368,ORDER3368,2023-04-21,UPS,1Z3686387,Delivered
SHIP5369,ORDER3369,2023-07-18,FedEx,1Z4482652,Delivered
SHIP5370,ORDER3370,2023-03-18,UPS,1Z1523582,Shipped
SHIP5371,ORDER3371,2023-08-20,FedEx,1Z9084516,Shipped
SHIP5372,ORDER3372,2023-03-21,FedEx,1Z3479962,In Transit
